,time,avail,forcast_avail,bottom_level,top_level,percentage
2892,21,0,1,12,97,0
2893,21,1,1,77,29,4
2894,13,0,1,72,80,0
2895,18,0,0,35,40,4
2896,23,1,1,86,45,26
2897,5,0,0,77,64,3
2898,10,0,1,99,77,0
2899,12,0,0,76,47,6
2900,7,0,0,55,12,5
2901,21,1,0,75,50,6
2902,15,1,1,21,10,0
2903,21,0,1,31,99,0
2904,12,0,0,25,59,0
2905,22,0,1,65,23,20
2906,2,1,0,81,81,0
2907,4,0,0,27,24,0
2908,22,0,1,76,77,0
2909,17,1,1,79,38,21
2910,15,1,0,80,74,0
2911,13,1,1,74,29,18
2912,5,1,0,51,85,0
2913,12,0,1,88,90,0
2914,11,1,0,59,91,0
2915,8,0,1,39,61,2
2916,0,1,1,27,10,0
2917,13,0,0,22,67,0
2918,18,0,0,26,75,0
2919,4,1,0,59,79,0
2920,14,0,0,28,59,0
2921,0,1,0,26,5,0
2922,5,1,1,42,34,8
2923,21,0,1,71,84,0
2924,11,1,0,46,36,13
2925,12,0,0,94,51,2
2926,6,1,1,6,47,0
2927,0,0,0,3,20,0
2928,23,1,0,43,83,0
2929,11,0,1,96,20,9
2930,8,0,1,78,97,0
2931,4,0,1,5,68,0
2932,19,0,0,93,14,0
2933,22,0,1,31,91,0
2934,3,0,1,26,11,0
2935,4,1,0,68,62,16
2936,6,0,0,15,76,0
2937,12,0,1,7,38,0
2938,2,1,1,37,100,0
2939,11,0,0,75,28,3
2940,2,0,1,74,49,1
2941,9,0,0,85,48,7
2942,22,1,0,33,80,0
2943,11,1,0,58,55,13
2944,7,1,1,94,41,17
2945,20,0,1,77,42,29
2946,6,1,0,70,17,19
2947,9,0,0,4,50,0
2948,18,0,1,93,71,0
2949,11,1,1,87,55,20
2950,21,1,0,84,58,6
2951,15,0,0,59,13,3
2952,3,1,1,73,99,0
2953,5,0,0,31,84,0
2954,2,0,0,49,7,12
2955,13,1,0,41,84,0
2956,19,1,1,97,37,7
2957,3,1,1,51,3,25
2958,0,1,1,81,43,27
2959,7,0,0,12,78,0
2960,7,1,0,20,65,0
2961,4,1,0,90,99,0
2962,23,1,1,99,97,0
2963,14,0,0,2,70,0
2964,14,1,1,46,83,0
2965,4,0,0,35,44,1
2966,4,0,0,12,37,0
2967,16,0,1,44,48,1
2968,0,1,0,100,27,21
2969,3,1,0,11,51,0
2970,17,0,1,60,26,8
2971,11,1,1,74,81,0
2972,17,0,1,10,22,0
2973,23,1,1,15,56,0
2974,2,1,0,78,89,0
2975,12,0,1,24,94,0
2976,3,1,0,91,81,0
2977,12,1,0,23,79,0
2978,9,1,1,56,75,0
2979,23,1,1,15,61,0
2980,15,1,0,3,98,0
2981,20,1,1,40,25,2
2982,14,1,1,47,26,27
2983,19,0,0,11,86,0
2984,18,0,0,16,44,0
2985,6,0,1,78,91,0
2986,13,0,0,12,54,0
2987,17,0,0,22,20,0
2988,2,0,0,6,96,0
2989,16,1,0,52,32,5
2990,11,1,1,58,60,3
2991,23,1,1,6,43,0
2992,10,1,1,99,13,11
2993,11,1,1,60,76,0
2994,12,1,0,86,82,0
2995,1,0,1,26,44,0
2996,11,1,1,68,36,0
2997,15,1,0,76,22,21
2998,8,0,1,82,27,7
2999,2,1,0,30,95,0
3000,13,0,1,0,81,0
3001,5,1,1,38,27,2
3002,23,0,0,97,52,3
3003,16,1,0,45,97,0
3004,12,0,1,34,63,4
3005,14,1,0,42,85,0
3006,2,1,0,18,46,0
3007,19,1,1,56,16,7
3008,19,1,1,84,24,21
3009,1,0,0,93,92,0
3010,16,1,1,31,9,30
3011,19,0,0,5,74,0
3012,21,0,1,59,86,0
3013,4,0,0,11,47,0
3014,1,0,1,21,5,0
3015,16,0,0,69,79,0
3016,21,0,0,21,48,0
3017,7,0,1,76,78,0
3018,10,0,0,8,88,0
3019,12,1,0,40,32,12
3020,12,1,1,35,4,28
3021,6,0,0,71,66,1
3022,18,0,0,89,30,1
3023,23,0,0,62,47,4
3024,14,1,1,71,31,26
3025,1,1,1,73,40,28
3026,16,0,0,41,79,0
3027,21,1,1,72,10,28
3028,1,1,0,46,34,24
3029,5,0,1,38,49,10
3030,0,0,1,76,50,9
3031,7,1,0,27,53,0
3032,6,0,1,90,96,0
3033,21,0,0,31,57,1
3034,6,0,0,72,2,11
3035,6,0,0,100,63,3
3036,6,1,0,68,96,0
3037,13,1,1,38,53,3
3038,9,0,0,70,36,1
3039,5,0,0,25,99,0
3040,17,0,1,55,1,5
3041,11,1,1,21,79,0
3042,3,0,1,6,15,0
3043,3,0,1,61,23,0
3044,18,1,1,43,15,11
3045,5,0,1,33,49,0
3046,8,0,1,11,37,0
3047,13,0,0,35,36,0
3048,6,0,0,1,43,0
3049,2,1,1,26,69,0
3050,20,1,0,36,63,4
3051,6,1,1,100,44,14
3052,0,0,1,53,46,7
3053,0,1,0,61,56,25
3054,17,1,0,96,7,26
3055,9,0,1,68,81,0
3056,1,0,1,92,71,0
3057,23,1,1,82,97,0
3058,4,0,1,4,65,0
3059,10,0,1,28,29,0
3060,14,1,0,64,67,16
3061,22,1,0,52,47,2
3062,22,0,0,64,64,6
3063,21,1,0,35,22,6
3064,12,1,0,86,92,0
3065,15,0,1,42,2,15
3066,13,0,0,27,42,0
3067,13,0,0,40,97,0
3068,5,0,1,69,69,9
3069,15,0,0,24,67,0
3070,8,1,0,4,50,0
3071,5,0,1,94,50,6
3072,3,0,1,10,89,0
3073,14,0,1,1,17,0
3074,3,0,1,75,88,0
3075,20,0,0,1,57,0
3076,13,0,0,70,4,14
3077,19,1,1,67,28,3
3078,19,1,0,54,83,0
3079,2,1,0,2,76,0
3080,0,1,0,18,73,0
3081,23,1,1,62,70,24
3082,22,1,1,63,83,0
3083,0,0,1,29,78,0
3084,5,1,0,44,25,8
3085,8,0,0,27,33,0
3086,20,1,1,14,6,0
3087,19,0,1,83,45,8
3088,3,1,1,12,44,0
3089,3,0,1,28,10,0
3090,2,0,0,89,85,0
3091,21,1,1,8,11,0
3092,10,0,0,1,15,0
3093,10,1,1,37,51,3
3094,10,1,1,86,9,29
3095,13,1,1,100,52,26
3096,5,0,0,85,66,4
3097,9,0,0,36,69,0
3098,18,1,1,1,70,0
3099,2,0,0,53,20,5
3100,7,1,0,39,56,22
3101,20,0,1,24,70,0
3102,19,0,0,80,96,0
3103,22,1,0,87,39,7
3104,14,1,0,44,3,21
3105,17,0,0,11,14,0
3106,9,0,1,37,72,0
3107,18,0,0,45,10,11
3108,12,0,0,30,76,0
3109,14,1,0,89,21,20
3110,8,0,1,36,7,14
3111,0,1,0,91,9,20
3112,7,1,1,97,80,0
3113,23,1,1,21,42,0
3114,20,0,0,76,57,6
3115,12,1,1,44,37,8
3116,20,1,0,80,97,0
3117,7,1,1,20,28,0
3118,12,1,0,52,97,0
3119,19,0,1,56,33,15
3120,16,1,0,13,40,0
3121,11,1,1,74,100,0
3122,7,0,0,17,54,0
3123,15,1,1,90,51,20
3124,1,0,1,53,49,9
3125,20,1,0,51,81,0
3126,4,0,1,38,54,10
3127,0,1,0,66,29,20
3128,17,0,0,69,91,0
3129,4,0,0,89,6,14
3130,14,0,1,94,97,0
3131,22,0,0,51,12,6
3132,19,0,0,97,2,11
3133,20,0,0,95,66,5
3134,3,0,1,26,53,0
3135,16,1,0,77,25,6
3136,19,0,0,55,75,0
3137,13,0,0,73,19,0
3138,4,1,1,60,17,0
3139,10,1,0,57,34,11
3140,10,1,0,68,86,0
3141,15,0,1,43,84,0
3142,3,0,1,95,69,0
3143,0,0,0,60,98,0
3144,13,1,1,52,81,0
3145,19,0,1,93,83,0
3146,13,0,1,65,17,5
3147,5,1,1,49,58,19
3148,1,0,1,3,99,0
3149,19,1,1,69,10,22
3150,12,0,0,63,49,5
3151,0,0,1,47,12,6
3152,3,1,0,6,89,0
3153,9,0,0,75,96,0
3154,11,0,0,55,46,10
3155,11,0,0,43,14,0
3156,23,1,0,1,34,0
3157,4,1,0,7,55,0
3158,18,0,1,42,93,0
3159,11,1,0,69,19,22
3160,8,0,1,33,83,0
3161,21,0,1,10,79,0
3162,22,0,1,61,37,23
3163,9,0,1,16,25,0
3164,15,0,1,8,53,0
3165,17,1,1,43,22,24
3166,7,0,0,51,99,0
3167,14,0,1,16,87,0
3168,8,1,0,93,8,21
3169,9,1,1,82,9,25
3170,5,0,0,35,61,2
3171,19,0,1,62,87,0
3172,22,1,1,25,97,0
3173,20,1,1,8,9,0
3174,12,1,1,67,45,1
3175,1,1,0,87,69,8
3176,7,1,0,27,31,0
3177,2,0,1,32,98,0
3178,4,0,0,13,5,0
3179,11,0,1,8,35,0
3180,6,0,1,28,81,0
3181,7,1,1,98,12,14
3182,7,1,1,25,73,0
3183,11,1,0,15,98,0
3184,2,1,0,93,89,0
3185,22,1,0,76,70,3
3186,2,1,0,38,47,11
3187,22,0,0,87,39,6
3188,9,1,1,12,86,0
3189,12,1,1,64,67,23
3190,1,1,1,38,33,30
3191,22,1,0,48,17,8
3192,14,0,1,36,43,2
3193,6,0,1,65,32,10
3194,22,0,1,76,0,23
3195,23,0,0,42,53,5
3196,23,0,0,62,94,0
3197,19,0,1,21,31,0
3198,14,1,0,42,29,20
3199,23,0,1,85,66,28
3200,3,1,1,96,79,0
3201,3,0,0,84,75,0
3202,18,1,0,7,95,0
3203,21,1,0,57,73,0
3204,19,0,1,36,62,18
3205,1,0,0,66,15,4
3206,11,1,0,3,22,0
3207,14,0,1,0,10,0
3208,19,1,0,60,94,0
3209,3,0,0,0,81,0
3210,22,0,1,17,100,0
3211,3,0,1,64,17,1
3212,15,0,1,88,47,4
3213,22,0,1,58,6,23
3214,21,1,1,31,60,11
3215,14,0,0,24,86,0
3216,10,1,1,35,44,7
3217,17,1,1,50,84,0
3218,2,1,1,29,28,0
3219,19,0,1,60,82,0
3220,17,1,1,36,40,19
3221,19,0,1,92,40,8
3222,23,1,0,13,10,0
3223,2,0,0,89,63,8
3224,9,1,1,37,67,5
3225,23,1,0,34,95,0
3226,21,1,1,84,16,10
3227,3,1,1,83,33,28
3228,18,0,0,8,36,0
3229,22,0,0,84,65,10
3230,13,1,1,96,44,0
3231,13,1,1,17,14,0
3232,8,1,1,13,40,0
3233,0,0,0,39,87,0
3234,2,1,1,45,17,24
3235,14,1,1,84,28,2
3236,21,1,0,78,2,11
3237,15,0,1,46,30,0
3238,10,0,1,62,93,0
3239,0,0,1,34,100,0
3240,10,1,1,9,39,0
3241,2,1,0,11,91,0
3242,12,0,1,52,62,0
3243,2,1,1,71,95,0
3244,2,1,0,67,85,0
3245,14,1,1,7,3,0
3246,3,0,1,78,70,7
3247,13,0,1,24,9,0
3248,12,1,1,66,34,18
3249,21,0,1,56,92,0
3250,6,1,1,82,44,13
3251,2,0,1,75,83,0
3252,4,1,1,60,100,0
3253,5,0,1,98,46,1
3254,19,0,0,91,73,0
3255,1,1,1,15,92,0
3256,11,0,0,62,34,6
3257,21,0,0,27,72,0
3258,23,1,1,41,22,9
3259,19,0,1,45,18,16
3260,14,0,0,96,82,0
3261,3,1,1,63,56,19
3262,13,0,1,5,98,0
3263,6,1,0,58,42,7
3264,13,0,1,59,18,0
3265,11,0,1,88,87,0
3266,10,0,1,72,86,0
3267,2,0,1,67,6,12
3268,22,1,1,35,1,26
3269,2,0,0,49,4,5
3270,19,0,0,34,18,4
3271,11,0,1,51,71,0
3272,1,0,1,68,79,0
3273,5,1,0,54,71,0
3274,11,0,1,52,20,2
3275,15,1,0,74,50,11
3276,1,0,0,8,3,0
3277,17,1,1,1,81,0
3278,2,0,0,57,73,0
3279,6,0,1,1,98,0
3280,23,1,0,25,1,0
3281,6,1,1,27,95,0
3282,13,1,0,86,7,22
3283,19,0,0,9,99,0
3284,13,0,1,63,83,0
3285,0,0,0,70,81,0
3286,19,1,0,15,89,0
3287,5,0,1,89,22,3
3288,11,0,1,38,23,0
3289,5,1,1,19,89,0
3290,6,1,1,6,86,0
3291,14,1,1,64,77,0
3292,16,0,1,94,76,0
3293,10,0,1,25,46,0
3294,20,1,0,66,52,7
3295,9,0,1,32,94,0
3296,21,1,1,57,72,0
3297,10,0,1,24,67,0
3298,0,1,1,62,26,2
3299,13,0,0,54,7,13
3300,17,1,1,86,5,29
3301,2,1,1,30,96,0
3302,13,1,1,86,17,0
3303,0,1,0,25,1,0
3304,18,1,0,86,90,0
3305,23,0,0,20,99,0
3306,10,0,0,94,25,0
3307,2,0,0,23,7,0
3308,14,1,1,34,6,21
3309,2,0,1,50,87,0
3310,11,1,0,57,74,0
3311,5,1,0,28,34,0
3312,10,1,0,48,50,6
3313,13,1,0,17,74,0
3314,21,0,0,65,76,0
3315,17,0,1,8,84,0
3316,16,0,1,16,78,0
3317,16,1,1,25,64,0
3318,5,0,1,16,29,0
3319,9,0,0,80,38,7
3320,7,0,0,75,11,1
3321,15,1,1,1,73,0
3322,3,1,0,81,88,0
3323,0,0,1,60,61,2
3324,7,1,1,16,44,0
3325,7,1,0,86,28,0
3326,21,0,0,97,8,5
3327,12,1,0,89,57,9
3328,0,0,1,95,78,0
3329,3,1,1,89,6,21
3330,20,1,0,11,69,0
3331,9,1,1,67,31,8
3332,13,0,1,37,28,9
3333,9,0,0,33,91,0
3334,2,1,0,8,8,0
3335,20,1,0,100,80,0
3336,3,1,1,5,59,0
3337,22,0,1,83,70,7
3338,5,1,1,6,38,0
3339,5,1,0,15,99,0
3340,16,0,0,94,86,0
3341,8,1,0,24,55,0
3342,23,1,0,22,14,0
3343,9,1,0,2,67,0
3344,0,1,0,75,93,0
3345,11,1,0,100,54,1
3346,9,0,1,9,26,0
3347,7,1,0,52,10,22
3348,9,0,1,33,100,0
3349,7,0,1,48,95,0
3350,22,0,1,27,10,0
3351,16,0,1,14,47,0
3352,4,1,1,17,65,0
3353,5,1,0,39,31,24
3354,15,0,0,34,12,1
3355,18,1,0,81,64,20
3356,9,1,0,5,23,0
3357,6,1,0,19,32,0
3358,16,0,0,57,81,0
3359,12,1,1,60,24,13
3360,11,1,0,59,29,25
3361,22,1,1,84,95,0
3362,15,0,1,21,9,0
3363,11,0,0,99,16,4
3364,16,0,1,31,45,7
3365,20,1,1,83,17,11
3366,23,1,0,93,35,6
3367,12,0,0,62,10,5
3368,9,1,1,16,7,0
3369,0,0,1,89,55,3
3370,13,1,0,15,70,0
3371,0,0,1,90,47,3
3372,4,1,0,17,1,0
3373,18,0,0,69,66,7
3374,23,1,1,73,14,14
3375,22,0,0,1,12,0
3376,15,0,0,80,46,8
3377,17,1,1,26,92,0
3378,11,0,1,40,26,2
3379,1,0,1,40,43,0
3380,22,0,0,67,5,11
3381,0,1,1,39,54,10
3382,18,0,1,49,65,3
3383,11,0,0,53,22,7
3384,9,1,1,6,70,0
3385,3,0,1,70,43,10
3386,22,0,0,92,1,5
3387,8,0,0,67,100,0
3388,8,0,0,74,82,0
3389,12,0,1,78,30,7
3390,16,0,1,62,90,0
3391,8,0,1,77,72,0
3392,11,0,0,63,31,1
3393,4,1,1,54,67,21
3394,0,0,0,65,30,0
3395,7,0,1,34,48,6
3396,13,1,0,32,71,0
3397,22,0,0,25,17,0
3398,2,0,1,65,27,2
3399,22,1,1,78,26,19
3400,10,0,0,23,78,0
3401,12,0,0,12,35,0
3402,17,1,1,26,92,0
3403,7,0,1,69,12,1
3404,14,1,0,50,92,0
3405,5,0,0,14,63,0
3406,21,0,1,49,70,13
3407,21,1,1,51,74,0
3408,0,1,1,94,77,0
3409,10,0,1,79,65,6
3410,11,0,1,22,53,0
3411,19,0,1,29,29,0
3412,3,1,0,53,55,11
3413,23,1,0,89,9,13
3414,21,1,1,32,6,26
3415,18,0,1,9,37,0
3416,12,1,1,56,19,15
3417,16,0,1,33,92,0
3418,16,1,0,70,67,19
3419,6,1,0,59,65,6
3420,7,1,0,77,100,0
3421,0,1,0,59,34,7
3422,3,1,0,22,66,0
3423,10,1,1,50,28,20
3424,8,1,0,41,85,0
3425,8,0,0,98,45,6
3426,19,1,0,42,80,0
3427,20,0,1,9,91,0
3428,22,0,1,93,58,20
3429,8,0,0,33,27,3
3430,16,1,1,84,46,27
3431,16,1,1,9,32,0
3432,0,0,0,5,23,0
3433,16,1,0,69,57,15
3434,20,0,1,46,91,0
3435,17,0,1,1,35,0
3436,16,0,0,16,10,0
3437,23,0,0,1,54,0
3438,18,1,1,15,44,0
3439,19,1,0,69,6,21
3440,12,1,1,93,81,0
3441,5,1,1,47,27,30
3442,21,1,1,37,66,3
3443,5,0,1,58,12,3
3444,3,1,0,31,71,0
3445,21,0,0,9,93,0
3446,3,1,0,1,98,0
3447,23,1,1,69,25,30
3448,7,1,0,38,9,29
3449,10,0,1,97,68,3
3450,13,0,0,45,24,7
3451,3,0,1,15,88,0
3452,2,1,1,60,95,0
3453,15,1,0,79,70,26
3454,17,1,0,44,60,0
3455,2,1,0,82,5,28
3456,17,1,0,13,83,0
3457,22,1,1,60,70,13
3458,2,1,0,27,70,0
3459,19,1,1,2,50,0
3460,4,0,1,94,17,4
3461,12,1,0,64,47,7
3462,15,0,1,65,26,0
3463,8,0,1,38,10,10
3464,21,1,1,9,14,0
3465,5,1,1,66,13,0
3466,9,0,1,46,100,0
3467,10,1,1,80,95,0
3468,10,0,0,42,34,10
3469,13,1,0,78,45,21
3470,17,1,0,56,96,0
3471,17,0,1,24,80,0
3472,23,1,1,26,67,0
3473,8,0,0,93,36,5
3474,5,0,0,38,58,9
3475,14,0,0,6,38,0
3476,9,1,1,65,98,0
3477,22,0,0,39,10,14
3478,5,0,1,46,64,4
3479,19,1,1,62,59,14
3480,7,0,0,63,86,0
3481,0,1,1,25,10,0
3482,3,0,1,87,100,0
3483,16,1,1,100,76,0
3484,18,0,1,97,61,30
3485,20,1,1,45,96,0
3486,23,0,0,9,44,0
3487,13,1,0,46,19,30
3488,11,1,1,78,15,24
3489,14,0,1,38,57,7
3490,1,1,0,60,1,20
3491,23,1,1,72,26,29
3492,17,1,0,92,29,23
3493,10,0,1,49,46,10
3494,7,0,0,80,90,0
3495,21,1,1,20,65,0
3496,0,1,1,92,4,20
3497,7,0,1,49,64,9
3498,14,0,0,10,23,0
3499,10,0,1,100,69,10
3500,19,1,1,7,84,0
3501,14,1,1,78,11,16
3502,5,0,1,28,93,0
3503,0,1,0,32,23,17
3504,3,0,1,1,20,0
3505,21,0,1,87,61,4
3506,2,1,1,70,81,0
3507,14,0,0,70,61,9
3508,10,0,1,11,73,0
3509,21,0,1,30,31,20
3510,2,0,1,66,96,0
3511,0,0,1,35,65,8
3512,23,1,1,24,41,0
3513,9,1,0,42,45,10
3514,21,1,0,1,62,0
3515,4,0,0,18,29,0
3516,5,0,1,35,30,8
3517,11,1,0,71,91,0
3518,21,0,1,86,83,0
3519,4,1,1,16,100,0
3520,10,1,1,2,10,0
3521,14,0,0,82,16,7
3522,9,0,0,7,91,0
3523,2,1,1,66,81,0
3524,14,1,0,24,42,0
3525,1,1,1,54,26,2
3526,17,1,1,64,29,29
3527,23,0,1,38,90,0
3528,14,1,0,36,52,28
3529,9,1,0,45,25,10
3530,2,1,1,5,42,0
3531,1,1,0,54,88,0
3532,18,1,0,87,99,0
3533,3,0,1,60,88,0
3534,3,0,1,7,5,0
3535,11,1,1,87,92,0
3536,0,0,0,87,79,0
3537,20,1,1,91,82,0
3538,4,1,1,14,56,0
3539,1,1,1,67,69,3
3540,9,0,0,69,30,6
3541,0,1,0,64,44,26
3542,10,1,0,99,98,0
3543,13,0,1,29,71,0
3544,23,0,1,41,83,0
3545,2,0,1,28,82,0
3546,1,0,0,35,51,6
3547,1,0,0,27,49,0
3548,13,1,1,56,2,22
3549,1,1,0,87,30,2
3550,9,1,0,69,6,26
3551,8,1,0,43,13,24
3552,13,0,0,13,85,0
3553,17,1,0,57,61,12
3554,10,0,1,65,31,9
3555,6,0,1,92,58,9
3556,2,0,0,6,75,0
3557,10,1,0,1,28,0
3558,16,0,0,64,46,3
3559,3,0,1,59,16,7
3560,8,1,1,67,29,24
3561,2,1,0,100,98,0
3562,8,1,0,46,72,0
3563,16,1,0,1,77,0
3564,9,0,0,99,21,3
3565,13,0,0,18,40,0
3566,7,0,0,55,83,0
3567,12,0,0,46,83,0
3568,9,0,1,23,71,0
3569,17,1,1,85,80,0
3570,5,1,0,37,8,27
3571,9,1,1,31,68,9
3572,6,0,1,39,77,0
3573,13,0,0,83,69,3
3574,19,1,1,54,16,19
3575,16,0,1,52,18,0
3576,8,1,0,66,58,22
3577,5,0,0,43,29,6
3578,1,1,0,2,34,0
3579,15,0,0,11,18,0
3580,19,1,1,28,15,0
3581,1,0,0,1,0,0
3582,9,1,1,64,34,29
3583,4,1,0,63,100,0
3584,12,0,1,59,48,8
3585,21,1,1,75,78,0
3586,11,1,0,90,90,0
3587,13,1,1,10,91,0
3588,2,1,0,82,55,9
3589,9,1,0,68,75,0
3590,4,1,0,16,82,0
3591,18,0,0,16,17,0
3592,6,1,1,36,51,2
3593,17,1,1,70,50,22
3594,13,0,0,41,39,10
3595,5,1,0,19,89,0
3596,16,1,0,49,49,3
3597,18,0,1,2,61,0
3598,0,0,0,99,50,4
3599,20,1,1,29,71,0
3600,6,0,1,85,82,0
3601,18,0,0,72,60,9
3602,19,0,0,50,26,6
3603,13,1,0,76,72,0
3604,16,0,1,21,75,0
3605,13,1,1,88,22,8
3606,2,0,0,17,52,0
3607,22,1,0,100,28,1
3608,20,1,0,97,40,1
3609,7,1,0,51,65,30
3610,5,1,1,95,90,0
3611,21,1,1,57,69,5
3612,7,0,1,65,1,14
3613,0,0,1,46,58,5
3614,7,1,1,59,57,2
3615,22,1,1,47,87,0
3616,20,1,1,40,90,0
3617,7,1,1,62,100,0
3618,15,0,1,46,63,1
3619,22,1,0,76,77,0
3620,6,1,1,11,67,0
3621,14,1,1,88,4,27
3622,14,1,0,48,100,0
3623,3,0,0,8,90,0
3624,19,1,1,4,95,0
3625,10,1,0,78,84,0
3626,8,0,1,2,74,0
3627,20,0,0,47,66,4
3628,22,0,1,24,34,0
3629,23,0,0,81,54,10
3630,14,0,1,39,85,0
3631,3,1,0,32,51,16
3632,0,0,0,34,40,6
3633,17,0,1,9,53,0
3634,22,1,0,34,38,2
3635,1,1,0,11,9,0
3636,3,0,1,29,24,0
3637,18,1,0,97,49,0
3638,11,1,1,45,99,0
3639,18,0,1,69,45,15
3640,13,0,0,40,84,0
3641,13,0,0,14,56,0
3642,16,1,0,69,21,14
3643,5,1,1,68,39,26
3644,23,0,1,20,21,0
3645,13,0,1,58,54,0
3646,14,1,1,65,43,5
3647,22,0,1,59,50,3
3648,19,0,0,53,37,6
3649,4,0,1,63,45,3
3650,5,0,0,70,53,9
3651,13,0,1,74,44,8
3652,22,1,0,82,42,7
3653,13,1,1,39,7,30
3654,10,1,0,16,19,0
3655,11,0,0,92,93,0
3656,22,0,0,73,7,14
3657,0,1,0,49,79,0
3658,12,1,1,71,82,0
3659,7,1,0,86,57,18
3660,10,0,1,29,35,0
3661,13,0,0,96,90,0
3662,7,0,0,48,60,7
3663,23,0,0,82,97,0
3664,3,1,0,40,19,28
3665,19,0,1,14,22,0
3666,0,0,1,28,21,0
3667,14,0,0,6,54,0
3668,18,0,0,36,94,0
3669,17,1,1,51,3,30
3670,16,0,1,17,42,0
3671,19,0,1,99,9,25
3672,2,1,0,91,46,0
3673,15,1,0,32,80,0
3674,20,0,0,53,7,9
3675,8,1,1,24,23,0
3676,13,1,0,91,25,25
3677,23,0,1,55,63,21
3678,3,1,1,27,7,0
3679,23,0,0,29,70,0
3680,14,1,0,49,18,11
3681,2,1,1,73,61,6
3682,10,0,0,39,72,0
3683,12,1,1,68,8,24
3684,2,1,1,9,30,0
3685,1,1,0,41,14,22
3686,9,1,1,43,74,0
3687,8,0,0,8,39,0
3688,1,0,1,39,54,6
3689,2,0,0,30,71,0
3690,19,1,1,70,32,13
3691,22,0,1,80,99,0
3692,4,1,0,20,53,0
3693,21,1,1,78,98,0
3694,17,0,1,49,97,0
3695,17,1,0,65,43,1
3696,0,0,0,88,67,6
3697,19,1,0,37,95,0
3698,15,0,0,98,19,8
3699,5,1,1,79,26,26
3700,0,0,1,19,96,0
3701,18,1,1,98,85,0
3702,22,1,0,85,69,7
3703,13,1,1,14,63,0
3704,16,0,1,69,74,0
3705,2,0,1,27,10,0
3706,11,0,1,55,21,3
3707,17,1,0,62,14,11
3708,0,1,1,30,100,0
3709,1,1,0,13,9,0
3710,6,1,1,22,27,0
3711,19,0,1,73,53,24
3712,6,0,0,48,90,0
3713,4,0,0,46,54,4
3714,5,1,1,52,32,5
3715,1,1,1,5,60,0
3716,2,0,1,82,74,0
3717,10,0,1,16,55,0
3718,20,1,0,3,15,0
3719,5,0,0,32,58,1
3720,14,0,0,29,52,0
3721,16,0,1,25,66,0
3722,2,1,0,54,11,10
3723,13,1,1,19,36,0
3724,23,0,0,71,64,4
3725,1,0,0,2,74,0
3726,2,0,0,53,28,6
3727,8,1,1,53,100,0
3728,16,1,1,33,5,26
3729,23,1,1,29,80,0
3730,9,0,0,47,74,0
3731,0,0,0,6,24,0
3732,13,0,0,26,35,0
3733,23,0,0,90,76,0
3734,9,0,1,17,45,0
3735,11,0,0,66,50,7
3736,13,1,1,82,82,0
3737,14,1,0,84,7,21
3738,7,1,1,62,18,8
3739,23,0,1,30,60,24
3740,22,0,1,43,78,0
3741,20,1,0,23,26,0
3742,8,1,0,99,2,28
3743,21,1,1,77,30,7
3744,14,1,1,86,83,0
3745,15,1,1,50,65,29
3746,5,0,1,64,23,8
3747,3,0,0,4,71,0
3748,12,0,1,18,18,0
3749,16,0,1,30,79,0
3750,8,1,0,97,87,0
3751,15,0,0,53,2,5
3752,10,0,1,25,27,0
3753,0,1,1,88,0,30
3754,18,0,0,59,22,7
3755,7,0,0,99,82,0
3756,18,0,0,49,76,0
3757,7,0,1,71,52,6
3758,17,0,0,9,29,0
3759,3,0,0,66,68,4
3760,12,0,1,33,27,1
3761,0,1,0,40,92,0
3762,5,0,1,15,6,0
3763,13,1,0,36,11,16
3764,12,0,0,32,13,0
3765,12,0,1,43,77,0
3766,16,1,0,67,49,15
3767,11,1,1,88,47,24
3768,13,0,1,43,83,0
3769,20,0,0,36,22,9
3770,21,1,1,90,41,1
3771,14,1,0,24,59,0
3772,15,0,1,29,80,0
3773,13,1,1,99,22,29
3774,14,1,0,22,93,0
3775,16,0,1,41,39,8
3776,0,1,1,16,73,0
3777,0,0,1,71,21,9
3778,0,1,0,48,73,0
3779,20,0,1,30,73,0
3780,0,1,0,7,52,0
3781,11,1,1,49,59,30
3782,22,1,1,73,7,27
3783,5,0,0,3,17,0
3784,16,0,0,47,6,14
3785,2,0,1,24,63,0
3786,10,1,0,12,12,0
3787,5,1,1,72,9,25
3788,13,0,1,78,72,0
3789,1,0,0,68,30,6
3790,22,1,1,68,80,0
3791,21,0,0,46,98,0
3792,0,0,0,0,83,0
3793,14,0,0,28,5,0
3794,9,1,0,82,70,10
3795,3,1,1,2,25,0
3796,12,0,1,78,64,5
3797,16,1,1,4,32,0
3798,8,1,0,12,85,0
3799,19,0,1,6,63,0
3800,18,1,1,55,54,17
3801,15,0,1,91,92,0
3802,4,1,1,67,29,16
3803,6,0,0,49,38,2
3804,22,1,1,3,98,0
3805,2,0,1,52,76,0
3806,7,0,0,98,22,0
3807,7,1,0,75,24,20
3808,20,0,1,58,72,0
3809,13,0,0,48,22,9
3810,14,0,1,9,35,0
3811,3,1,0,46,97,0
3812,13,0,1,27,9,0
3813,21,1,1,20,97,0
3814,14,1,0,31,100,0
3815,2,1,1,91,12,14
3816,8,1,1,86,89,0
3817,10,0,1,68,89,0
3818,9,1,0,31,83,0
3819,0,1,1,39,30,21
3820,9,0,1,69,13,7
3821,7,0,1,38,85,0
3822,15,0,0,19,24,0
